Year,Service Area,obs,measure
1997,healthcare,100.0,quality-adjusted-productivity-index-1997-base
1998,healthcare,100.3,quality-adjusted-productivity-index-1997-base
1999,healthcare,100.9,quality-adjusted-productivity-index-1997-base
2000,healthcare,101.1,quality-adjusted-productivity-index-1997-base
2001,healthcare,103.4,quality-adjusted-productivity-index-1997-base
2002,healthcare,101.2,quality-adjusted-productivity-index-1997-base
2003,healthcare,102.4,quality-adjusted-productivity-index-1997-base
2004,healthcare,104.3,quality-adjusted-productivity-index-1997-base
2005,healthcare,105.6,quality-adjusted-productivity-index-1997-base
2006,healthcare,108.9,quality-adjusted-productivity-index-1997-base
2007,healthcare,109.3,quality-adjusted-productivity-index-1997-base
2008,healthcare,109.9,quality-adjusted-productivity-index-1997-base
2009,healthcare,107.4,quality-adjusted-productivity-index-1997-base
2010,healthcare,107.7,quality-adjusted-productivity-index-1997-base
2011,healthcare,110.3,quality-adjusted-productivity-index-1997-base
2012,healthcare,111.9,quality-adjusted-productivity-index-1997-base
2013,healthcare,115.1,quality-adjusted-productivity-index-1997-base
2014,healthcare,117.4,quality-adjusted-productivity-index-1997-base
2015,healthcare,117.5,quality-adjusted-productivity-index-1997-base
2016,healthcare,119.2,quality-adjusted-productivity-index-1997-base
2017,healthcare,121.2,quality-adjusted-productivity-index-1997-base
2018,healthcare,119.6,quality-adjusted-productivity-index-1997-base
2019,healthcare,122.3,quality-adjusted-productivity-index-1997-base
2020,healthcare,94.2,quality-adjusted-productivity-index-1997-base
1997,education,100.0,quality-adjusted-productivity-index-1997-base
1998,education,103.0,quality-adjusted-productivity-index-1997-base
1999,education,106.0,quality-adjusted-productivity-index-1997-base
2000,education,104.6,quality-adjusted-productivity-index-1997-base
2001,education,104.2,quality-adjusted-productivity-index-1997-base
2002,education,99.7,quality-adjusted-productivity-index-1997-base
2003,education,100.0,quality-adjusted-productivity-index-1997-base
2004,education,101.0,quality-adjusted-productivity-index-1997-base
2005,education,98.1,quality-adjusted-productivity-index-1997-base
2006,education,95.4,quality-adjusted-productivity-index-1997-base
2007,education,94.4,quality-adjusted-productivity-index-1997-base
2008,education,90.9,quality-adjusted-productivity-index-1997-base
2009,education,88.4,quality-adjusted-productivity-index-1997-base
2010,education,88.9,quality-adjusted-productivity-index-1997-base
2011,education,90.5,quality-adjusted-productivity-index-1997-base
2012,education,94.5,quality-adjusted-productivity-index-1997-base
2013,education,94.3,quality-adjusted-productivity-index-1997-base
2014,education,92.5,quality-adjusted-productivity-index-1997-base
2015,education,93.8,quality-adjusted-productivity-index-1997-base
2016,education,96.0,quality-adjusted-productivity-index-1997-base
2017,education,96.5,quality-adjusted-productivity-index-1997-base
2018,education,99.9,quality-adjusted-productivity-index-1997-base
2019,education,100.8,quality-adjusted-productivity-index-1997-base
2020,education,74.5,quality-adjusted-productivity-index-1997-base
1997,adult-social-care,100.0,quality-adjusted-productivity-index-1997-base
1998,adult-social-care,102.5,quality-adjusted-productivity-index-1997-base
1999,adult-social-care,99.0,quality-adjusted-productivity-index-1997-base
2000,adult-social-care,98.9,quality-adjusted-productivity-index-1997-base
2001,adult-social-care,100.2,quality-adjusted-productivity-index-1997-base
2002,adult-social-care,101.3,quality-adjusted-productivity-index-1997-base
2003,adult-social-care,101.2,quality-adjusted-productivity-index-1997-base
2004,adult-social-care,99.7,quality-adjusted-productivity-index-1997-base
2005,adult-social-care,97.9,quality-adjusted-productivity-index-1997-base
2006,adult-social-care,98.9,quality-adjusted-productivity-index-1997-base
2007,adult-social-care,97.2,quality-adjusted-productivity-index-1997-base
2008,adult-social-care,98.8,quality-adjusted-productivity-index-1997-base
2009,adult-social-care,94.8,quality-adjusted-productivity-index-1997-base
2010,adult-social-care,95.0,quality-adjusted-productivity-index-1997-base
2011,adult-social-care,95.8,quality-adjusted-productivity-index-1997-base
2012,adult-social-care,94.1,quality-adjusted-productivity-index-1997-base
2013,adult-social-care,94.8,quality-adjusted-productivity-index-1997-base
2014,adult-social-care,89.6,quality-adjusted-productivity-index-1997-base
2015,adult-social-care,88.5,quality-adjusted-productivity-index-1997-base
2016,adult-social-care,91.6,quality-adjusted-productivity-index-1997-base
2017,adult-social-care,93.1,quality-adjusted-productivity-index-1997-base
2018,adult-social-care,89.3,quality-adjusted-productivity-index-1997-base
2019,adult-social-care,95.6,quality-adjusted-productivity-index-1997-base
2020,adult-social-care,79.5,quality-adjusted-productivity-index-1997-base
1997,social-security-administration,100.0,quality-adjusted-productivity-index-1997-base
1998,social-security-administration,102.7,quality-adjusted-productivity-index-1997-base
1999,social-security-administration,93.1,quality-adjusted-productivity-index-1997-base
2000,social-security-administration,87.4,quality-adjusted-productivity-index-1997-base
2001,social-security-administration,95.2,quality-adjusted-productivity-index-1997-base
2002,social-security-administration,95.3,quality-adjusted-productivity-index-1997-base
2003,social-security-administration,73.1,quality-adjusted-productivity-index-1997-base
2004,social-security-administration,79.0,quality-adjusted-productivity-index-1997-base
2005,social-security-administration,71.9,quality-adjusted-productivity-index-1997-base
2006,social-security-administration,79.4,quality-adjusted-productivity-index-1997-base
2007,social-security-administration,91.5,quality-adjusted-productivity-index-1997-base
2008,social-security-administration,80.1,quality-adjusted-productivity-index-1997-base
2009,social-security-administration,89.5,quality-adjusted-productivity-index-1997-base
2010,social-security-administration,81.3,quality-adjusted-productivity-index-1997-base
2011,social-security-administration,91.0,quality-adjusted-productivity-index-1997-base
2012,social-security-administration,75.7,quality-adjusted-productivity-index-1997-base
2013,social-security-administration,78.6,quality-adjusted-productivity-index-1997-base
2014,social-security-administration,75.7,quality-adjusted-productivity-index-1997-base
2015,social-security-administration,68.7,quality-adjusted-productivity-index-1997-base
2016,social-security-administration,70.7,quality-adjusted-productivity-index-1997-base
2017,social-security-administration,78.2,quality-adjusted-productivity-index-1997-base
2018,social-security-administration,78.2,quality-adjusted-productivity-index-1997-base
2019,social-security-administration,78.2,quality-adjusted-productivity-index-1997-base
2020,social-security-administration,78.2,quality-adjusted-productivity-index-1997-base
1997,children-s-social-care,100.0,quality-adjusted-productivity-index-1997-base
1998,children-s-social-care,96.0,quality-adjusted-productivity-index-1997-base
1999,children-s-social-care,92.4,quality-adjusted-productivity-index-1997-base
2000,children-s-social-care,88.0,quality-adjusted-productivity-index-1997-base
2001,children-s-social-care,87.9,quality-adjusted-productivity-index-1997-base
2002,children-s-social-care,86.2,quality-adjusted-productivity-index-1997-base
2003,children-s-social-care,83.5,quality-adjusted-productivity-index-1997-base
2004,children-s-social-care,81.3,quality-adjusted-productivity-index-1997-base
2005,children-s-social-care,81.0,quality-adjusted-productivity-index-1997-base
2006,children-s-social-care,80.5,quality-adjusted-productivity-index-1997-base
2007,children-s-social-care,80.8,quality-adjusted-productivity-index-1997-base
2008,children-s-social-care,82.9,quality-adjusted-productivity-index-1997-base
2009,children-s-social-care,83.9,quality-adjusted-productivity-index-1997-base
2010,children-s-social-care,84.2,quality-adjusted-productivity-index-1997-base
2011,children-s-social-care,84.1,quality-adjusted-productivity-index-1997-base
2012,children-s-social-care,82.5,quality-adjusted-productivity-index-1997-base
2013,children-s-social-care,83.4,quality-adjusted-productivity-index-1997-base
2014,children-s-social-care,86.4,quality-adjusted-productivity-index-1997-base
2015,children-s-social-care,87.1,quality-adjusted-productivity-index-1997-base
2016,children-s-social-care,87.4,quality-adjusted-productivity-index-1997-base
2017,children-s-social-care,86.8,quality-adjusted-productivity-index-1997-base
2018,children-s-social-care,85.7,quality-adjusted-productivity-index-1997-base
2019,children-s-social-care,84.3,quality-adjusted-productivity-index-1997-base
2020,children-s-social-care,86.3,quality-adjusted-productivity-index-1997-base
1997,public-order-safety,100.0,quality-adjusted-productivity-index-1997-base
